"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2021ggov","2021-03-30T23:31:46.14607Z","-8.729538918","105.7933655","3.911054622","M","10","11","291.0382233","South of Java, Indonesia","BMKG"
"2","bmg2021ggji","2021-03-30T20:44:24.144485Z","-6.470153809","130.2199554","4.436319364","M","148","44","65.6076355","Banda Sea","BMKG"
"3","bmg2021gftd","2021-03-30T12:34:15.973504Z","-1.973421812","127.26754","3.787919631","MLv","10","22","69.68092346","Halmahera, Indonesia","BMKG"
"4","bmg2021gfsz","2021-03-30T12:29:29.861977Z","-1.901991248","127.3491516","4.032050523","M","10","22","65.30703735","Halmahera, Indonesia","BMKG"
"5","bmg2021gfsy","2021-03-30T12:27:28.73223Z","-1.98492527","127.3425064","3.799641555","M","10","16","68.16123962","Halmahera, Indonesia","BMKG"
"6","bmg2021gfsl","2021-03-30T12:13:07.343053Z","-3.842550039","128.8890991","3.014666226","MLv","11","12","158.2732086","Seram, Indonesia","BMKG"
"7","bmg2021gfrt","2021-03-30T11:51:22.771556Z","-1.945199132","127.3194427","4.117981735","M","10","24","67.41937256","Halmahera, Indonesia","BMKG"
"8","bmg2021gfrb","2021-03-30T11:30:23.575453Z","-1.943487167","127.3326263","4.331918196","M","10","47","54.0281232","Halmahera, Indonesia","BMKG"
"9","bmg2021gfdh","2021-03-30T04:32:52.422088Z","-7.69603014","128.3852081","4.678476594","M","89","59","61.17527771","Banda Sea","BMKG"
"10","bmg2021gfcc","2021-03-30T03:57:28.277752Z","-6.454142094","107.2862854","2.793540265","M","10","16","193.815094","Java, Indonesia","BMKG"
"11","bmg2021gfca","2021-03-30T03:55:25.000938Z","-6.956611156","117.0125122","5.820093333","M","149","10","151.0989609","Bali Sea","BMKG"
"12","bmg2021gewd","2021-03-30T00:56:09.868883Z","-6.505594254","107.2556305","2.934759575","M","10","18","169.580864","Java, Indonesia","BMKG"
"13","bmg2021gerp","2021-03-29T22:38:57.206255Z","-7.863763332","107.242775","3.300996828","M","20","24","211.3912506","Java, Indonesia","BMKG"
"14","bmg2021gemy","2021-03-29T20:18:11.461643Z","-1.870943666","127.2893829","2.913472447","M","10","13","112.6326094","Halmahera, Indonesia","BMKG"
"15","bmg2021gelc","2021-03-29T19:22:00.965469Z","4.927659988","110.5873718","3.441701421","M","415","13","231.7215118","South China Sea","BMKG"
"16","bmg2021gegu","2021-03-29T17:11:10.501234Z","-1.937563419","127.3141479","3.675548778","M","10","19","67.28764343","Halmahera, Indonesia","BMKG"
