"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2022vhoe","2022-10-30T23:22:28.69462Z","-9.374498367","113.4762497","3.472442059","M","10","23","218.8963318","South of Java, Indonesia","BMKG"
"2","bmg2022vhod","2022-10-30T23:20:29.554295Z","-6.111493587","128.6837463","4.456454873","M","312","27","68.26190186","Banda Sea","BMKG"
"3","bmg2022vhme","2022-10-30T22:21:35.680649Z","1.82584691","99.4511261","5.217571206","Mw(mB)","174","210","28.40800476","Northern Sumatra, Indonesia","BMKG"
"4","bmg2022vhlg","2022-10-30T21:53:15.867341Z","0.5647455454","126.3551025","4.598956826","M","10","60","65.27565002","Northern Molucca Sea","BMKG"
"5","bmg2022vhig","2022-10-30T20:22:19.411162Z","2.054601431","125.7503662","3.735562627","M","10","24","125.9158783","Talaud Islands, Indonesia","BMKG"
"6","bmg2022vhhu","2022-10-30T20:08:40.67484Z","1.572256804","126.9409637","3.10425557","M","104","15","91.38619995","Northern Molucca Sea","BMKG"
"7","bmg2022vhha","2022-10-30T19:44:37.070369Z","-9.018081665","116.988945","2.811731236","M","10","21","200.587059","Sumbawa Region, Indonesia","BMKG"
"8","bmg2022vhdl","2022-10-30T17:56:08.957688Z","-8.269695282","119.5885925","3.086143793","M","156","24","182.6678467","Flores Region, Indonesia","BMKG"
"9","bmg2022vgzz","2022-10-30T16:12:13.609107Z","-6.995337486","129.7357483","4.744883747","M","143","53","62.63514185","Banda Sea","BMKG"
"10","bmg2022vgyt","2022-10-30T15:34:56.07014Z","-9.487651825","119.4334564","3.151926061","M","26","19","96.39622498","Sumba Region, Indonesia","BMKG"
"11","bmg2022vgyp","2022-10-30T15:29:56.999011Z","-2.296685457","138.3498077","3.332007766","M","14","10","127.7977448","Irian Jaya, Indonesia","BMKG"
"12","bmg2022vgyk","2022-10-30T15:23:46.889574Z","-3.190638065","128.5544586","2.488706608","M","10","10","162.4836349","Seram, Indonesia","BMKG"
"13","bmg2022vgyl","2022-10-30T15:23:28.870024Z","-2.532823563","134.3943024","3.877499705","M","10","16","82.64350128","Irian Jaya Region, Indonesia","BMKG"
"14","bmg2022vgyh","2022-10-30T15:20:17.494498Z","-2.567130089","134.3551025","3.538305666","M","10","11","79.6517334","Irian Jaya Region, Indonesia","BMKG"
"15","bmg2022vgxx","2022-10-30T15:09:18.570323Z","-2.54709053","134.3783264","4.072113528","M","10","19","81.39557648","Irian Jaya Region, Indonesia","BMKG"
"16","bmg2022vgwu","2022-10-30T14:34:45.483691Z","-4.964901447","102.5647278","3.154069207","M","12","19","248.8643417","Southern Sumatra, Indonesia","BMKG"
"17","bmg2022vgvu","2022-10-30T14:04:08.288831Z","-6.863068104","129.9651947","4.069450305","M","180","14","85.44068909","Banda Sea","BMKG"
"18","bmg2022vgvl","2022-10-30T13:53:34.160655Z","-3.04364109","130.0412598","2.410970845","M","10","9","158.2649155","Seram, Indonesia","BMKG"
"19","bmg2022vgrr","2022-10-30T12:00:26.151827Z","-3.611880302","121.0873566","2.723523113","M","27","19","88.51261902","Sulawesi, Indonesia","BMKG"
"20","bmg2022vgpz","2022-10-30T11:08:55.116294Z","0.2824928164","121.5435638","4.510968767","M","185","71","56.55438614","Minahassa Peninsula, Sulawesi","BMKG"
"21","bmg2022vgfx","2022-10-30T06:03:24.509742Z","-6.501049519","104.9125824","3.200649617","M","10","20","221.2990036","Sunda Strait, Indonesia","BMKG"
