"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2021ovly","2021-07-30T23:23:52.912116Z","0.3923625052","124.0238419","3.529019959","M","10","22","65.55221558","Minahassa Peninsula, Sulawesi","BMKG"
"2","bmg2021ovlm","2021-07-30T23:09:41.59791Z","-6.914291859","106.9625778","3.068912632","M","10","35","70.35036743","Java, Indonesia","BMKG"
"3","bmg2021oveg","2021-07-30T19:30:23.858549Z","-4.488972664","127.7749023","4.547739331","M","10","10","123.015358","Banda Sea","BMKG"
"4","bmg2021ovcx","2021-07-30T18:49:38.298213Z","-6.11056757","103.7888031","3.711885337","M","10","36","223.7161102","Southwest of Sumatra, Indonesia","BMKG"
"5","bmg2021ovcf","2021-07-30T18:28:11.583784Z","-8.012563705","117.8493729","3.257978176","M","25","33","132.9586372","Sumbawa Region, Indonesia","BMKG"
"6","bmg2021ovbx","2021-07-30T18:19:12.075295Z","-2.820872307","119.4298401","2.089514576","M","11","11","98.98393679","Sulawesi, Indonesia","BMKG"
"7","bmg2021ovba","2021-07-30T17:52:05.584839Z","3.91421175","127.7468262","5.072063222","M","110","172","125.3651886","Talaud Islands, Indonesia","BMKG"
"8","bmg2021oval","2021-07-30T17:35:25.588249Z","-8.880075455","122.5320816","3.954242256","M","74","46","62.9924469","Flores Region, Indonesia","BMKG"
"9","bmg2021ovag","2021-07-30T17:29:30.370661Z","-4.275315762","117.4641342","4.687409132","M","425","15","98.6293335","Java Sea","BMKG"
"10","bmg2021ouzt","2021-07-30T17:13:40.024646Z","-2.875407934","122.2501755","3.102038698","M","10","38","131.1365509","Sulawesi, Indonesia","BMKG"
"11","bmg2021ouzf","2021-07-30T16:57:38.384171Z","-10.36573124","124.7313461","3.298772873","M","12","23","133.0643158","Timor Region","BMKG"
"12","bmg2021ouzd","2021-07-30T16:54:57.295493Z","0.8465989232","124.4386139","3.140010153","M","28","10","113.3105316","Minahassa Peninsula, Sulawesi","BMKG"
"13","bmg2021ouwy","2021-07-30T15:48:10.359462Z","-0.1923994124","122.8612518","2.943989125","M","29","18","79.77481079","Minahassa Peninsula, Sulawesi","BMKG"
"14","bmg2021ouul","2021-07-30T14:32:50.189747Z","-3.276511192","131.1733704","2.380785558","M","10","15","144.9536667","Irian Jaya Region, Indonesia","BMKG"
"15","bmg2021ouru","2021-07-30T13:12:00.505553Z","-2.523388624","138.4434662","4.508865725","M","33","41","86.81818581","Irian Jaya, Indonesia","BMKG"
"16","bmg2021oupp","2021-07-30T12:06:29.546766Z","4.94984293","96.18022156","2.097576752","M","10","9","180.9952621","Northern Sumatra, Indonesia","BMKG"
"17","bmg2021oupn","2021-07-30T12:03:37.648883Z","1.876346588","128.7228394","3.703183263","MLv","44","18","178.7779388","Halmahera, Indonesia","BMKG"
"18","bmg2021oupj","2021-07-30T11:58:58.754331Z","-2.165808916","119.0874252","2.51091587","M","10","14","185.1564312","Sulawesi, Indonesia","BMKG"
"19","bmg2021oupc","2021-07-30T11:50:49.162853Z","-1.584443569","120.1998062","2.542926744","M","10","18","60.81723022","Sulawesi, Indonesia","BMKG"
"20","bmg2021ouov","2021-07-30T11:43:06.687899Z","-3.112720013","130.7344666","3.605742395","M","11","17","127.7017288","Seram, Indonesia","BMKG"
"21","bmg2021ouok","2021-07-30T11:30:02.944581Z","3.284430981","127.8387375","3.923731801","M","10","13","198.564621","Talaud Islands, Indonesia","BMKG"
"22","bmg2021oulg","2021-07-30T09:54:22.696626Z","-6.194873333","105.1763458","3.379958187","M","10","19","195.0859604","Sunda Strait, Indonesia","BMKG"
"23","bmg2021oukq","2021-07-30T09:35:59.908734Z","-0.7308558226","121.87117","3.118495742","M","10","15","69.31354523","Minahassa Peninsula, Sulawesi","BMKG"
"24","bmg2021oukd","2021-07-30T09:20:09.294504Z","-0.8854597807","121.8899078","3.383027732","M","10","19","93.95954895","Minahassa Peninsula, Sulawesi","BMKG"
"25","bmg2021ougq","2021-07-30T07:34:42.556809Z","-0.7462391853","121.937439","2.974805728","M","10","15","71.04844666","Minahassa Peninsula, Sulawesi","BMKG"
"26","bmg2021ougk","2021-07-30T07:27:58.10652Z","-9.138798714","120.6038132","2.665781711","M","10","14","111.0949097","Sumba Region, Indonesia","BMKG"
"27","bmg2021oubr","2021-07-30T05:03:41.055563Z","-2.132963896","119.0996857","2.931074996","M","10","15","219.0961742","Sulawesi, Indonesia","BMKG"
"28","bmg2021oubn","2021-07-30T04:59:05.765471Z","-6.93584156","107.0174408","2.525604885","M","10","13","84.90370941","Java, Indonesia","BMKG"
"29","bmg2021ouat","2021-07-30T04:36:24.793309Z","-4.362939358","106.019577","5.438623742","M","165","11","136.1864777","Southern Sumatra, Indonesia","BMKG"
"30","bmg2021ouaa","2021-07-30T04:13:49.292864Z","-6.166218281","104.0324326","2.84342126","M","27","9","283.0577698","Sunda Strait, Indonesia","BMKG"
"31","bmg2021otyq","2021-07-30T03:31:50.20018Z","-2.14972496","119.0720444","3.258061202","M","10","20","180.0857143","Sulawesi, Indonesia","BMKG"
"32","bmg2021otyo","2021-07-30T03:29:36.832224Z","-1.178501844","109.220932","5.813106849","M","10","11","111.996006","Borneo","BMKG"
"33","bmg2021otym","2021-07-30T03:26:39.016891Z","3.902151585","95.92876434","3.51755744","M","28","17","217.0722275","Off West Coast of Northern Sumatra","BMKG"
"34","bmg2021otms","2021-07-29T21:30:35.672851Z","-2.924830675","119.368187","2.600280708","M","10","21","78.692276","Sulawesi, Indonesia","BMKG"
"35","bmg2021otmp","2021-07-29T21:27:12.926696Z","-0.6985087395","121.8968964","2.93229096","M","10","34","61.26912689","Minahassa Peninsula, Sulawesi","BMKG"
"36","bmg2021otmo","2021-07-29T21:25:44.49713Z","-1.162489533","121.2488861","2.611112766","M","10","22","74.09918404","Sulawesi, Indonesia","BMKG"
"37","bmg2021otls","2021-07-29T20:59:43.218895Z","0.4933078587","122.2863083","2.632841357","M","75","18","64.0607233","Minahassa Peninsula, Sulawesi","BMKG"
"38","bmg2021otkb","2021-07-29T20:10:18.921232Z","-1.485161424","135.8507385","3.521068506","M","29","14","172.7496109","Irian Jaya Region, Indonesia","BMKG"
"39","bmg2021otij","2021-07-29T19:19:04.870167Z","-2.741308928","122.2482071","2.978897055","M","10","26","121.4218426","Sulawesi, Indonesia","BMKG"
"40","bmg2021otfk","2021-07-29T17:49:08.066884Z","-8.911027908","111.4451904","3.727707705","M","10","40","209.558609","Java, Indonesia","BMKG"
"41","bmg2021otdk","2021-07-29T16:48:50.435347Z","-9.150849342","124.0643158","2.837603771","M","30","27","66.4373703","Timor Region","BMKG"
"42","bmg2021otdh","2021-07-29T16:45:24.354067Z","-2.901097298","119.3896637","3.241516053","M","10","39","75.16400146","Sulawesi, Indonesia","BMKG"
"43","bmg2021otda","2021-07-29T16:37:15.088528Z","-8.223581314","123.4505005","3.049307677","M","138","25","108.2698593","Flores Region, Indonesia","BMKG"
"44","bmg2021otcz","2021-07-29T16:35:39.494449Z","0.2324013114","121.9953156","2.988614798","M","168","32","48.97848129","Minahassa Peninsula, Sulawesi","BMKG"
"45","bmg2021otcd","2021-07-29T16:09:47.78397Z","-9.067760468","117.1888962","3.503091675","M","10","37","175.5843964","Sumbawa Region, Indonesia","BMKG"
"46","bmg2021otba","2021-07-29T15:36:26.384096Z","1.232901931","98.81314087","3.228957106","M","75","27","62.8497467","Northern Sumatra, Indonesia","BMKG"
"47","bmg2021otam","2021-07-29T15:19:23.370373Z","-3.897423983","126.9814987","3.193447277","M","13","15","115.0880127","Buru, Indonesia","BMKG"
"48","bmg2021otal","2021-07-29T15:18:20.899201Z","-8.098682404","120.5977402","3.487874757","M","14","30","72.83551025","Flores Region, Indonesia","BMKG"
"49","bmg2021osuq","2021-07-29T12:22:29.559443Z","-1.105090857","129.3572693","3.773924784","M","22","34","95.38985443","Halmahera, Indonesia","BMKG"
"50","bmg2021osrv","2021-07-29T10:57:40.331596Z","-2.256269932","128.6135864","2.73706716","M","29","6","185.3651733","Ceram Sea","BMKG"
"51","bmg2021osqf","2021-07-29T10:08:25.227348Z","2.598012209","98.85887146","2.233158218","M","10","9","113.0856743","Northern Sumatra, Indonesia","BMKG"
"52","bmg2021ospj","2021-07-29T09:43:00.634096Z","-2.901990175","119.3808212","2.646929569","M","10","16","76.12979126","Sulawesi, Indonesia","BMKG"
"53","bmg2021osmb","2021-07-29T08:03:04.407151Z","-6.182660103","130.5912933","4.284173159","M","157","29","62.68300629","Banda Sea","BMKG"
"54","bmg2021oslg","2021-07-29T07:38:21.9772Z","-3.72891283","128.4616547","3.029939375","M","10","7","198.6481705","Seram, Indonesia","BMKG"
"55","bmg2021osfq","2021-07-29T04:48:14.960011Z","-0.790702939","121.8885727","3.235570577","M","10","19","73.00602722","Minahassa Peninsula, Sulawesi","BMKG"
"56","bmg2021osfn","2021-07-29T04:44:21.521912Z","-8.200875282","116.3724594","3.28004519","M","13","25","148.0296783","Sumbawa Region, Indonesia","BMKG"
"57","bmg2021osfh","2021-07-29T04:37:10.999233Z","-8.899831772","116.866333","2.124744299","M","10","9","214.102417","Sumbawa Region, Indonesia","BMKG"
"58","bmg2021oseo","2021-07-29T04:14:53.853071Z","-6.864104271","130.0287628","4.105680211","M","164","16","113.0913696","Banda Sea","BMKG"
"59","bmg2021osbd","2021-07-29T02:31:38.16518Z","-8.729632378","114.81604","2.519845281","M","67","12","186.2829056","Bali Region, Indonesia","BMKG"
"60","bmg2021orrb","2021-07-28T21:25:41.366102Z","-8.203574181","116.3860397","2.874839535","M","10","16","147.8587875","Sumbawa Region, Indonesia","BMKG"
"61","bmg2021orqr","2021-07-28T21:13:45.779851Z","1.907901883","126.5564728","4.399905181","M","10","59","77.34115887","Northern Molucca Sea","BMKG"
"62","bmg2021orqo","2021-07-28T21:10:42.731269Z","2.882617712","128.1639252","4.165423627","M","10","43","177.0258789","Halmahera, Indonesia","BMKG"
"63","bmg2021orqa","2021-07-28T20:53:54.964608Z","-8.21667099","116.350769","2.596947484","M","10","14","182.2012787","Sumbawa Region, Indonesia","BMKG"
"64","bmg2021orpi","2021-07-28T20:32:57.444934Z","-2.934284925","119.3946381","2.547143924","M","10","25","64.67203355","Sulawesi, Indonesia","BMKG"
"65","bmg2021ormz","2021-07-28T19:22:11.660919Z","-8.423312187","109.6097412","3.542724083","M","41","43","203.156601","Java, Indonesia","BMKG"
"66","bmg2021orjq","2021-07-28T17:40:22.730169Z","1.453211665","126.4624481","4.113666968","M","10","54","63.10262156","Northern Molucca Sea","BMKG"
"67","bmg2021oret","2021-07-28T15:12:57.921058Z","2.514784336","126.8239212","3.896434919","M","10","33","108.1185226","Northern Molucca Sea","BMKG"
"68","bmg2021orbn","2021-07-28T13:34:48.328922Z","-0.6844925284","121.7893753","4.30059359","M","10","70","42.95926666","Minahassa Peninsula, Sulawesi","BMKG"
"69","bmg2021oqzn","2021-07-28T12:33:45.211447Z","-9.059904099","118.7137756","4.078029018","M","67","38","161.7767258","Sumbawa Region, Indonesia","BMKG"
"70","bmg2021oqzk","2021-07-28T12:30:37.824673Z","2.938478947","126.6451797","3.263554154","M","31","13","112.9262313","Northern Molucca Sea","BMKG"
"71","bmg2021oqyh","2021-07-28T11:56:22.863918Z","-8.58305645","112.9893646","3.75243716","M","127","46","185.992218","Java, Indonesia","BMKG"
"72","bmg2021oquj","2021-07-28T09:57:31.225471Z","-1.428585649","133.8718872","2.682834582","MLv","50","11","178.1291504","Irian Jaya Region, Indonesia","BMKG"
"73","bmg2021oque","2021-07-28T09:52:09.191794Z","-2.919737577","119.4100189","2.340781199","M","10","8","65.94619709","Sulawesi, Indonesia","BMKG"
"74","bmg2021oquc","2021-07-28T09:50:04.241242Z","-2.921337128","119.3684921","2.881459289","M","10","11","78.48165894","Sulawesi, Indonesia","BMKG"
"75","bmg2021oqtj","2021-07-28T09:27:23.604694Z","-1.813700557","119.4016876","2.921576719","M","10","11","189.2524872","Sulawesi, Indonesia","BMKG"
"76","bmg2021oqrh","2021-07-28T08:24:47.409795Z","-8.884056091","110.1141052","3.884433317","M","10","24","213.263176","Java, Indonesia","BMKG"
"77","bmg2021oqqa","2021-07-28T07:46:47.897571Z","-8.884512901","111.4402924","3.815404524","M","10","16","208.8789825","Java, Indonesia","BMKG"
"78","bmg2021opwb","2021-07-27T21:41:00.042314Z","-0.64538306","122.0353775","3.911969077","M","10","48","51.81004333","Minahassa Peninsula, Sulawesi","BMKG"
"79","bmg2021opvv","2021-07-27T21:33:47.439772Z","5.120683193","95.68550873","3.787644104","M","136","32","110.8101425","Northern Sumatra, Indonesia","BMKG"
"80","bmg2021opvt","2021-07-27T21:32:03.703527Z","-2.877019167","119.4268494","2.268445854","M","10","11","70.31414795","Sulawesi, Indonesia","BMKG"
"81","bmg2021oprr","2021-07-27T19:28:28.436981Z","-2.940745354","119.4284134","2.36586838","M","10","14","68.63602448","Sulawesi, Indonesia","BMKG"
"82","bmg2021oppv","2021-07-27T18:32:27.200919Z","-0.6955666542","121.9670181","4.458252012","M","10","65","42.55905151","Minahassa Peninsula, Sulawesi","BMKG"
"83","bmg2021oppt","2021-07-27T18:29:38.504744Z","-0.7922771573","121.9777756","3.100778033","M","10","35","66.78955841","Minahassa Peninsula, Sulawesi","BMKG"
"84","bmg2021opns","2021-07-27T17:27:55.538229Z","-0.203128621","122.972908","2.561130489","M","37","13","98.31277466","Minahassa Peninsula, Sulawesi","BMKG"
"85","bmg2021opln","2021-07-27T16:21:50.656859Z","-8.992009163","111.4272995","4.973985579","M","60","235","45.48297119","Java, Indonesia","BMKG"
"86","bmg2021opkr","2021-07-27T15:55:51.587617Z","-2.671711206","140.9486237","2.33456068","M","12","8","253.4877014","Near North Coast of Irian Jaya","BMKG"
"87","bmg2021opka","2021-07-27T15:35:46.043171Z","-8.955795288","116.4020004","3.351354191","M","96","31","190.3805161","Sumbawa Region, Indonesia","BMKG"
"88","bmg2021opjg","2021-07-27T15:12:22.956641Z","-4.144611835","121.6736908","4.171985859","M","10","49","39.16123962","Sulawesi, Indonesia","BMKG"
"89","bmg2021opiy","2021-07-27T15:03:48.172826Z","-5.573451042","104.6365204","2.814925674","M","10","19","176.9552689","Southern Sumatra, Indonesia","BMKG"
"90","bmg2021opij","2021-07-27T14:45:48.631523Z","-0.8463786244","121.9399414","2.751154262","M","10","19","122.7580719","Minahassa Peninsula, Sulawesi","BMKG"
"91","bmg2021ophz","2021-07-27T14:34:32.103446Z","-7.818847656","118.8825684","3.391394277","M","18","27","112.3713303","Flores Sea","BMKG"
