"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"40","bmg2021vekl","2021-10-29T06:04:47.294003Z","0.551881969","123.0751114","1.73372561","M","10","5","142.4923096","Minahassa Peninsula, Sulawesi","BMKG"
"41","bmg2021vejm","2021-10-29T05:35:31.540154Z","0.7667361498","127.6918411","3.510205391","M","10","13","102.6247368","Halmahera, Indonesia","BMKG"
"42","bmg2021vehl","2021-10-29T04:33:33.292475Z","5.133794785","125.7107773","4.864703466","Mw(mB)","169","109","110.3617172","Mindanao, Philippines","BMKG"
"43","bmg2021vecw","2021-10-29T02:15:11.483015Z","2.373675585","128.2467651","3.858092551","M","143","22","170.0869751","Halmahera, Indonesia","BMKG"
"44","bmg2021vdou","2021-10-28T19:07:47.396242Z","1.388110757","128.1044922","2.286787984","M","80","13","162.8064518","Halmahera, Indonesia","BMKG"
"45","bmg2021vdkn","2021-10-28T16:58:55.107304Z","-4.990454197","102.9217377","3.393399958","M","24","28","218.3196869","Southern Sumatra, Indonesia","BMKG"
"46","bmg2021vdjj","2021-10-28T16:23:51.446933Z","-9.541119576","115.6075668","2.393522678","M","13","14","229.8059196","South of Bali, Indonesia","BMKG"
"47","bmg2021vdiu","2021-10-28T16:06:38.386472Z","-8.01339817","124.5295639","3.013049177","M","10","19","135.2689056","Timor Region","BMKG"
"48","bmg2021vdcg","2021-10-28T12:48:00.124419Z","-8.56447506","116.0711365","2.6906865","M","10","20","70.20011997","Sumbawa Region, Indonesia","BMKG"
"49","bmg2021vcws","2021-10-28T10:00:08.961988Z","3.105765343","127.8328094","4.389559572","M","10","30","166.443924","Talaud Islands, Indonesia","BMKG"
"50","bmg2021vcqw","2021-10-28T07:03:01.62865Z","-6.265356541","130.2944641","4.785468179","M","135","69","48.04525757","Banda Sea","BMKG"
"51","bmg2021vclm","2021-10-28T04:19:31.917067Z","-3.430179596","135.4218445","4.536101068","M","14","25","77.44403076","Irian Jaya Region, Indonesia","BMKG"
"52","bmg2021vcll","2021-10-28T04:18:03.941483Z","-8.375489235","116.1408615","2.572596264","M","13","15","134.5878525","Sumbawa Region, Indonesia","BMKG"
"53","bmg2021vcif","2021-10-28T02:40:49.386158Z","0.6501751542","99.99684906","2.524326707","M","10","12","98.77157593","Northern Sumatra, Indonesia","BMKG"
"54","bmg2021vchy","2021-10-28T02:32:08.295177Z","-7.661151886","128.4595947","4.67513111","M","150","82","31.41452026","Banda Sea","BMKG"
"55","bmg2021vcdp","2021-10-28T00:20:42.117618Z","-7.332435131","110.4140549","2.987852713","M","10","17","104.5254822","Java, Indonesia","BMKG"
"56","bmg2021vcck","2021-10-27T23:43:49.429913Z","-2.822360277","122.3074265","3.689663973","M","10","33","95.3086319","Sulawesi, Indonesia","BMKG"
"57","bmg2021vcah","2021-10-27T22:40:16.330452Z","-3.583126783","101.80513","2.991830955","M","26","16","209.4229355","Southern Sumatra, Indonesia","BMKG"
"58","bmg2021vcad","2021-10-27T22:35:39.805572Z","3.215046644","128.3634644","4.181064481","M","10","30","199.1141205","North of Halmahera, Indonesia","BMKG"
