"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2023ebvg","2023-02-27T22:00:41.64401Z","-8.626274109","116.8602371","2.926684315","MLv","126","36","123.8062515","Sumbawa Region, Indonesia","BMKG"
"2","bmg2023ebte","2023-02-27T20:58:25.757998Z","-1.606297135","120.1881943","2.490227399","M","5","18","122.9941101","Sulawesi, Indonesia","BMKG"
"3","bmg2023ebqg","2023-02-27T19:29:08.84827Z","-1.630403996","120.2245178","2.594595139","MLv","5","28","88.40869141","Sulawesi, Indonesia","BMKG"
"5","bmg2023ebpi","2023-02-27T19:01:16.935551Z","-1.635911942","120.2012634","2.60444298","M","5","25","88.09333801","Sulawesi, Indonesia","BMKG"
"6","bmg2023ebnr","2023-02-27T18:10:49.572405Z","-1.651739597","120.2210388","2.547360107","MLv","5","25","61.74917603","Sulawesi, Indonesia","BMKG"
"7","bmg2023ebnl","2023-02-27T18:04:27.179128Z","-1.628388524","120.2037811","2.562688238","MLv","5","21","67.03575134","Sulawesi, Indonesia","BMKG"
"8","bmg2023ebli","2023-02-27T17:00:24.211794Z","-1.604400039","120.1661911","2.619868292","MLv","5","25","68.27888489","Sulawesi, Indonesia","BMKG"
"9","bmg2023eblf","2023-02-27T16:56:41.824614Z","-7.243534565","107.1502686","2.540639128","MLv","17","19","83.75815582","Java, Indonesia","BMKG"
"10","bmg2023ebkk","2023-02-27T16:31:32.106869Z","-6.715140343","129.9114075","4.92601779","M","162","65","69.88024902","Banda Sea","BMKG"
"11","bmg2023ebjz","2023-02-27T16:19:48.57912Z","-1.646611691","120.2337952","3.104081201","MLv","5","34","43.9713707","Sulawesi, Indonesia","BMKG"
"12","bmg2023ebjl","2023-02-27T16:03:28.497185Z","-1.635734558","120.2066422","2.743480863","M","5","22","66.47470093","Sulawesi, Indonesia","BMKG"
"13","bmg2023ebjh","2023-02-27T15:58:44.886018Z","-8.839679718","111.4669876","2.78320565","MLv","50","8","292.8849344","Java, Indonesia","BMKG"
"14","bmg2023ebiy","2023-02-27T15:47:19.883303Z","0.9346408844","121.1353912","2.569887054","MLv","47","14","117.1992188","Minahassa Peninsula, Sulawesi","BMKG"
"15","bmg2023ebiq","2023-02-27T15:37:59.654728Z","-2.320172548","133.8665314","2.591081042","MLv","14","8","125.718544","West Papua Region, Indonesia","BMKG"
"16","bmg2023ebht","2023-02-27T15:11:29.157163Z","-1.616928101","120.212738","2.82948272","MLv","5","23","69.93050385","Sulawesi, Indonesia","BMKG"
"17","bmg2023ebft","2023-02-27T14:10:53.892903Z","-2.384419918","140.6652832","2.403915412","MLv","10","6","301.6785583","Near North Coast of West Papua","BMKG"
"18","bmg2023ebeg","2023-02-27T13:25:38.438884Z","-5.635271549","119.5123062","2.276663907","MLv","5","18","211.9687347","Sulawesi, Indonesia","BMKG"
"19","bmg2023ebed","2023-02-27T13:21:38.569819Z","0.8901162744","122.7044525","2.638487006","MLv","28","15","184.579483","Minahassa Peninsula, Sulawesi","BMKG"
"20","bmg2023ebct","2023-02-27T12:39:58.06597Z","-7.614200115","122.2984467","3.200991764","MLv","28","17","154.1736755","Flores Sea","BMKG"
"21","bmg2023ebbz","2023-02-27T12:17:20.477629Z","4.774061203","95.70204163","2.238622461","MLv","10","19","85.35752869","Northern Sumatra, Indonesia","BMKG"
"22","bmg2023ebca","2023-02-27T12:16:46.556584Z","-1.616900444","120.2027588","2.422632583","M","11","12","121.865921","Sulawesi, Indonesia","BMKG"
"23","bmg2023ebbr","2023-02-27T12:07:23.167652Z","-5.586200237","119.5820007","2.757542678","M","10","19","198.1143036","Sulawesi, Indonesia","BMKG"
"24","bmg2023eazu","2023-02-27T11:10:37.409874Z","-8.784900665","111.8352966","2.920259923","M","37","10","233.4647369","Java, Indonesia","BMKG"
"25","bmg2023eayk","2023-02-27T10:28:18.164169Z","-1.530957818","120.1150513","2.373734024","MLv","10","13","109.5530243","Sulawesi, Indonesia","BMKG"
"26","bmg2023eayj","2023-02-27T10:26:38.70832Z","3.082002401","125.5769653","4.232724128","MLv","166","37","107.5219727","Talaud Islands, Indonesia","BMKG"
"27","bmg2023eaxz","2023-02-27T10:16:07.307415Z","0.3129793108","125.7286224","3.941446273","MLv","11","33","55.0174408","Northern Molucca Sea","BMKG"
"28","bmg2023eaxl","2023-02-27T09:59:18.787825Z","-1.612078905","120.1943512","3.436347209","MLv","10","32","85.38247681","Sulawesi, Indonesia","BMKG"
"29","bmg2023eavu","2023-02-27T09:09:15.636031Z","-1.60717833","120.1985321","2.761664015","MLv","10","19","84.97201538","Sulawesi, Indonesia","BMKG"
"30","bmg2023eaue","2023-02-27T08:19:37.407802Z","-3.332057238","140.6239777","3.566019161","MLv","60","13","122.7081089","West Papua, Indonesia","BMKG"
"31","bmg2023eauc","2023-02-27T08:17:50.614204Z","-1.643791437","120.2234726","2.866868039","MLv","10","18","105.5136127","Sulawesi, Indonesia","BMKG"
"32","bmg2023easw","2023-02-27T07:40:07.180693Z","-1.613919497","120.2048569","2.617363904","MLv","10","22","101.5677299","Sulawesi, Indonesia","BMKG"
"33","bmg2023eass","2023-02-27T07:36:16.672653Z","-1.609093666","120.187767","3.244411128","MLv","10","35","66.15797424","Sulawesi, Indonesia","BMKG"
"34","bmg2023easm","2023-02-27T07:29:04.048452Z","-1.604540467","120.2075119","3.552118939","MLv","10","39","64.83427429","Sulawesi, Indonesia","BMKG"
"35","bmg2023eash","2023-02-27T07:22:48.903839Z","-1.607315421","120.1927338","2.521929307","MLv","10","21","84.08114624","Sulawesi, Indonesia","BMKG"
"36","bmg2023earc","2023-02-27T06:47:14.25281Z","-0.03405659646","123.4317322","3.348747857","MLv","133","26","88.46392059","Minahassa Peninsula, Sulawesi","BMKG"
"37","bmg2023eaqz","2023-02-27T06:43:36.351106Z","-1.615527153","120.1853409","2.736086187","MLv","10","19","85.0087738","Sulawesi, Indonesia","BMKG"
"38","bmg2023eaoq","2023-02-27T05:32:21.41951Z","-1.589614272","120.1917496","2.744895084","MLv","10","32","68.09169769","Sulawesi, Indonesia","BMKG"
"39","bmg2023eaoo","2023-02-27T05:29:58.442457Z","-1.539999485","120.1386032","3.043377673","MLv","10","32","65.41931152","Sulawesi, Indonesia","BMKG"
"40","bmg2023eaod","2023-02-27T05:16:40.252526Z","-1.610376358","120.1949844","2.860715047","MLv","10","31","65.80271912","Sulawesi, Indonesia","BMKG"
"41","bmg2023eanq","2023-02-27T05:02:29.45024Z","-1.611827016","120.1697617","2.838765876","MLv","10","13","91.91677856","Sulawesi, Indonesia","BMKG"
"42","bmg2023eamx","2023-02-27T04:39:47.781782Z","-1.592441916","120.1225891","2.758722209","MLv","10","18","105.4898987","Sulawesi, Indonesia","BMKG"
"43","bmg2023eamr","2023-02-27T04:33:16.181824Z","-1.578733206","120.1923141","4.332638112","M","10","45","47.48360443","Sulawesi, Indonesia","BMKG"
"44","bmg2023eaml","2023-02-27T04:25:30.824097Z","-1.560773373","120.2059631","2.745245743","MLv","10","22","62.83529663","Sulawesi, Indonesia","BMKG"
"45","bmg2023eall","2023-02-27T03:55:07.162009Z","-1.665719151","120.2678833","2.69769095","MLv","10","18","131.7604313","Sulawesi, Indonesia","BMKG"
"46","bmg2023eako","2023-02-27T03:28:41.593689Z","-1.615814805","120.2209473","2.680920073","MLv","10","31","66.95677948","Sulawesi, Indonesia","BMKG"
"47","bmg2023eajn","2023-02-27T02:56:56.00579Z","-1.618257403","120.1742706","2.468592752","M","10","13","85.90840149","Sulawesi, Indonesia","BMKG"
"48","bmg2023eajh","2023-02-27T02:49:46.323844Z","-1.564742923","120.2359619","2.578259336","M","10","12","114.1154671","Sulawesi, Indonesia","BMKG"
"49","bmg2023eaiu","2023-02-27T02:34:37.413757Z","-1.602643967","120.1650238","2.600484353","MLv","15","10","123.6199951","Sulawesi, Indonesia","BMKG"
"50","bmg2023eais","2023-02-27T02:33:12.971381Z","4.800036907","95.81315613","2.058297998","MLv","96","18","95.58327484","Northern Sumatra, Indonesia","BMKG"
"51","bmg2023eair","2023-02-27T02:31:59.818191Z","-1.638131261","120.2408371","2.60351006","M","10","16","75.56787872","Sulawesi, Indonesia","BMKG"
"52","bmg2023eaio","2023-02-27T02:27:49.557275Z","-1.596811175","120.1487503","2.567271266","M","10","11","86.49198914","Sulawesi, Indonesia","BMKG"
